layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.1408228874206543,0.032029666006565094,4.396639134330992
1,model.layers.1.mlp.down_proj,0.19934862852096558,0.025697048753499985,7.757646517138176
2,model.layers.2.mlp.down_proj,0.21863742172718048,0.03175311163067818,6.88554297873603
3,model.layers.3.mlp.down_proj,0.1831657737493515,0.03760305792093277,4.871033873454036
4,model.layers.4.mlp.down_proj,0.21906308829784393,0.029436539858579636,7.441876046179365
5,model.layers.5.mlp.down_proj,0.1858842670917511,0.026883894577622414,6.914335259004548
6,model.layers.6.mlp.down_proj,0.2527780532836914,0.027781996876001358,9.098627622531284
7,model.layers.7.mlp.down_proj,0.2693783640861511,0.03205365315079689,8.403982984868328
8,model.layers.8.mlp.down_proj,0.23697452247142792,0.028598258271813393,8.286326808184139
9,model.layers.9.mlp.down_proj,0.2107681781053543,0.03227793052792549,6.529791970188879
10,model.layers.10.mlp.down_proj,0.21960332989692688,0.031658776104450226,6.936570202076997
11,model.layers.11.mlp.down_proj,0.18352115154266357,0.02913503721356392,6.29898441173915
12,model.layers.12.mlp.down_proj,0.1929895430803299,0.027431607246398926,7.035298162136175
13,model.layers.13.mlp.down_proj,0.16387523710727692,0.0293728057295084,5.579148040443993
14,model.layers.14.mlp.down_proj,0.11404316127300262,0.029019499197602272,3.9298802700408126
15,model.layers.15.mlp.down_proj,0.18405084311962128,0.026011740788817406,7.075683151627538
16,model.layers.16.mlp.down_proj,0.1258554905653,0.02821744978427887,4.46020058748253
17,model.layers.17.mlp.down_proj,0.16397443413734436,0.028392160311341286,5.775341733911767
18,model.layers.18.mlp.down_proj,0.08823693543672562,0.030001159757375717,2.941117383767652
19,model.layers.19.mlp.down_proj,0.13193590939044952,0.032425276935100555,4.06892146474489
20,model.layers.20.mlp.down_proj,0.1563265025615692,0.02786986529827118,5.609158683738158
21,model.layers.21.mlp.down_proj,0.14779916405677795,0.03244426101446152,4.555479301421583
22,model.layers.22.mlp.down_proj,0.13113506138324738,0.029924040660262108,4.382264363620016
23,model.layers.23.mlp.down_proj,0.11037714779376984,0.0327007956802845,3.3753657096775522
24,model.layers.24.mlp.down_proj,0.10602676868438721,0.03195479139685631,3.3180240186701404
25,model.layers.25.mlp.down_proj,0.025846142321825027,0.025087138637900352,1.030254652179558
26,model.layers.26.mlp.down_proj,0.03160879760980606,0.02957483008503914,1.0687735635384858
27,model.layers.27.mlp.down_proj,0.026514315977692604,0.03191501647233963,0.830778676548501
28,model.layers.28.mlp.down_proj,0.02594597265124321,0.027426475659012794,0.9460191687697856
29,model.layers.29.mlp.down_proj,0.12990917265415192,0.03106500580906868,4.181849160780743
30,model.layers.30.mlp.down_proj,0.07208176702260971,0.029970455914735794,2.4050940306875583
31,model.layers.31.mlp.down_proj,0.23880557715892792,0.032279543578624725,7.398046666279895
