layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.11795210838317871,0.029607344418764114,3.9838799026009517
1,model.layers.1.mlp.down_proj,0.05324139446020126,0.030291805043816566,1.7576170395118904
2,model.layers.2.mlp.down_proj,0.06711189448833466,0.02456938661634922,2.731524917767033
3,model.layers.3.mlp.down_proj,0.061545480042696,0.022908903658390045,2.686530890954487
4,model.layers.4.mlp.down_proj,0.07644178718328476,0.033997468650341034,2.2484551929739856
5,model.layers.5.mlp.down_proj,0.06754132360219955,0.027859607711434364,2.424345736574495
6,model.layers.6.mlp.down_proj,0.05052825063467026,0.035707611590623856,1.415055417284829
7,model.layers.7.mlp.down_proj,0.062321849167346954,0.02933630719780922,2.124393047247882
8,model.layers.8.mlp.down_proj,0.10341205447912216,0.02716466784477234,3.8068586467978656
9,model.layers.9.mlp.down_proj,0.10418186336755753,0.030141275376081467,3.45645161364934
10,model.layers.10.mlp.down_proj,0.13712207973003387,0.031703293323516846,4.325168177501339
11,model.layers.11.mlp.down_proj,0.09739755094051361,0.030033033341169357,3.2430140036500013
12,model.layers.12.mlp.down_proj,0.08026452362537384,0.02456105872988701,3.2679584882774555
13,model.layers.13.mlp.down_proj,0.14897505939006805,0.030456313863396645,4.891434175744977
14,model.layers.14.mlp.down_proj,0.10924448072910309,0.03152661770582199,3.4651505684283554
15,model.layers.15.mlp.down_proj,0.09641450643539429,0.031155085191130638,3.094663447371299
16,model.layers.16.mlp.down_proj,0.08499954640865326,0.0252071563154459,3.372040144985689
17,model.layers.17.mlp.down_proj,0.13640935719013214,0.028017040342092514,4.8687995111458156
18,model.layers.18.mlp.down_proj,0.1530565619468689,0.02378779835999012,6.434246381121842
19,model.layers.19.mlp.down_proj,0.1933337301015854,0.0291261225938797,6.637811910617958
20,model.layers.20.mlp.down_proj,0.19751319289207458,0.02870531938970089,6.8807172402416334
21,model.layers.21.mlp.down_proj,0.18926076591014862,0.02333986945450306,8.108903872413471
22,model.layers.22.mlp.down_proj,0.20331482589244843,0.02466491237282753,8.243078855344095
23,model.layers.23.mlp.down_proj,0.1532597541809082,0.03134913742542267,4.888802751166577
24,model.layers.24.mlp.down_proj,0.12940049171447754,0.030914712697267532,4.185725055765757
25,model.layers.25.mlp.down_proj,0.04082851856946945,0.03121986985206604,1.3077734614256913
26,model.layers.26.mlp.down_proj,0.037818025797605515,0.028714966028928757,1.3170144252474998
27,model.layers.27.mlp.down_proj,0.03417257219552994,0.03505025431513786,0.974959294541034
28,model.layers.28.mlp.down_proj,0.03872544690966606,0.028134603053331375,1.376434757576787
29,model.layers.29.mlp.down_proj,0.11104073375463486,0.02610117755830288,4.254242141081878
30,model.layers.30.mlp.down_proj,0.05198497697710991,0.027727534994482994,1.8748502206418005
31,model.layers.31.mlp.down_proj,0.13485340774059296,0.031073052436113358,4.339882722431946
