layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.13363996148109436,0.029346417635679245,4.553876339738966
1,model.layers.1.mlp.down_proj,0.10749097168445587,0.026980051770806313,3.984090490763093
2,model.layers.2.mlp.down_proj,0.061911534518003464,0.02766600251197815,2.237819947185307
3,model.layers.3.mlp.down_proj,0.08694534003734589,0.02811569906771183,3.0924124182557424
4,model.layers.4.mlp.down_proj,0.06710896641016006,0.02983611449599266,2.249252803005592
5,model.layers.5.mlp.down_proj,0.06026461720466614,0.027494197711348534,2.1919030206103534
6,model.layers.6.mlp.down_proj,0.059715766459703445,0.03425205871462822,1.7434211827617565
7,model.layers.7.mlp.down_proj,0.07108718901872635,0.024966027587652206,2.8473567099047914
8,model.layers.8.mlp.down_proj,0.08392516523599625,0.02523576095700264,3.3256441941000303
9,model.layers.9.mlp.down_proj,0.08032546192407608,0.023255860432982445,3.4539878110107383
10,model.layers.10.mlp.down_proj,0.1106271967291832,0.020970197394490242,5.275448264631089
11,model.layers.11.mlp.down_proj,0.09823369234800339,0.025266867130994797,3.887846006031131
12,model.layers.12.mlp.down_proj,0.15370237827301025,0.0334516279399395,4.594765132334039
13,model.layers.13.mlp.down_proj,0.11979067325592041,0.026614680886268616,4.500924480999502
14,model.layers.14.mlp.down_proj,0.11341901868581772,0.03112136945128441,3.6444095179984854
15,model.layers.15.mlp.down_proj,0.11444475501775742,0.029990142211318016,3.8160789767274927
16,model.layers.16.mlp.down_proj,0.148751363158226,0.030027616769075394,4.953818324922895
17,model.layers.17.mlp.down_proj,0.177399143576622,0.030199309810996056,5.874277882925332
18,model.layers.18.mlp.down_proj,0.12857824563980103,0.027306577190756798,4.708691244343622
19,model.layers.19.mlp.down_proj,0.12709596753120422,0.02744981087744236,4.630121623370718
20,model.layers.20.mlp.down_proj,0.13013744354248047,0.026626359671354294,4.887541528816124
21,model.layers.21.mlp.down_proj,0.15761785209178925,0.027145585045218468,5.80638973235771
22,model.layers.22.mlp.down_proj,0.1766948252916336,0.026463095098733902,6.677027685361706
23,model.layers.23.mlp.down_proj,0.14550967514514923,0.02518906630575657,5.776699604589776
24,model.layers.24.mlp.down_proj,0.12100865691900253,0.025906214490532875,4.67102796096264
25,model.layers.25.mlp.down_proj,0.04239662364125252,0.03116210363805294,1.3605186213732428
26,model.layers.26.mlp.down_proj,0.0344022735953331,0.031327348202466965,1.0981546307347316
27,model.layers.27.mlp.down_proj,0.02993328496813774,0.03336246311664581,0.8972144522503324
28,model.layers.28.mlp.down_proj,0.033467311412096024,0.03380497172474861,0.9900114898656497
29,model.layers.29.mlp.down_proj,0.10725195705890656,0.026571456342935562,4.036359604770461
30,model.layers.30.mlp.down_proj,0.05990074947476387,0.02821720577776432,2.1228447573332017
31,model.layers.31.mlp.down_proj,0.18292702734470367,0.029953856021165848,6.106960690085576
