layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.08222577720880508,0.025841141119599342,3.1819714789788853
1,model.layers.1.mlp.down_proj,0.09816031157970428,0.026563484221696854,3.695309962546921
2,model.layers.2.mlp.down_proj,0.09865506738424301,0.03044859692454338,3.2400528795685912
3,model.layers.3.mlp.down_proj,0.10143182426691055,0.03007226064801216,3.372936344267788
4,model.layers.4.mlp.down_proj,0.16801190376281738,0.028318434953689575,5.932951383246408
5,model.layers.5.mlp.down_proj,0.14630870521068573,0.02492109313607216,5.870878076693691
6,model.layers.6.mlp.down_proj,0.15951243042945862,0.027387555688619614,5.82426655444372
7,model.layers.7.mlp.down_proj,0.14811573922634125,0.029100816696882248,5.089744926384313
8,model.layers.8.mlp.down_proj,0.12560386955738068,0.032078761607408524,3.915483620567482
9,model.layers.9.mlp.down_proj,0.12859997153282166,0.03223177790641785,3.9898502625685177
10,model.layers.10.mlp.down_proj,0.1105896458029747,0.028780439868569374,3.842527857999137
11,model.layers.11.mlp.down_proj,0.13483969867229462,0.027736399322748184,4.861470742535577
12,model.layers.12.mlp.down_proj,0.15577706694602966,0.030370375141501427,5.129243912562503
13,model.layers.13.mlp.down_proj,0.15418247878551483,0.027952659875154495,5.515842641033102
14,model.layers.14.mlp.down_proj,0.11305531114339828,0.028217677026987076,4.006541964057901
15,model.layers.15.mlp.down_proj,0.09007415920495987,0.028075937181711197,3.2082332786882475
16,model.layers.16.mlp.down_proj,0.10400023311376572,0.03010035678744316,3.4551161766306664
17,model.layers.17.mlp.down_proj,0.107110396027565,0.03243540599942207,3.302267674010487
18,model.layers.18.mlp.down_proj,0.06936458498239517,0.027745366096496582,2.500042069767888
19,model.layers.19.mlp.down_proj,0.0641709491610527,0.029342103749513626,2.186992027629388
20,model.layers.20.mlp.down_proj,0.062057435512542725,0.023983702063560486,2.587483481932753
21,model.layers.21.mlp.down_proj,0.07201452553272247,0.023855537176132202,3.0187759756673196
22,model.layers.22.mlp.down_proj,0.07173874229192734,0.029363125562667847,2.4431574798010667
23,model.layers.23.mlp.down_proj,0.07998676598072052,0.024557460099458694,3.2571268526811847
24,model.layers.24.mlp.down_proj,0.10278153419494629,0.031023701652884483,3.3130002354954238
25,model.layers.25.mlp.down_proj,0.029714634642004967,0.03139033168554306,0.9466173850298235
26,model.layers.26.mlp.down_proj,0.0289436187595129,0.023160412907600403,1.2497021372322998
27,model.layers.27.mlp.down_proj,0.024175895377993584,0.031140226870775223,0.7763557633013473
28,model.layers.28.mlp.down_proj,0.025086775422096252,0.026853179559111595,0.9342198912666239
29,model.layers.29.mlp.down_proj,0.06672606617212296,0.026394087821245193,2.5280685620188432
30,model.layers.30.mlp.down_proj,0.05058838054537773,0.03121015429496765,1.6208948679449422
31,model.layers.31.mlp.down_proj,0.16483239829540253,0.038597799837589264,4.270512690320872
