layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.10624885559082031,0.029443001374602318,3.608628435341605
1,model.layers.1.mlp.down_proj,0.11195655167102814,0.03209234029054642,3.488575378699705
2,model.layers.2.mlp.down_proj,0.12294049561023712,0.026987258344888687,4.55550132153459
3,model.layers.3.mlp.down_proj,0.11096230894327164,0.030450737103819847,3.6439940655938368
4,model.layers.4.mlp.down_proj,0.12547357380390167,0.02863081730902195,4.382465511450761
5,model.layers.5.mlp.down_proj,0.05890185758471489,0.03355463594198227,1.755401427425941
6,model.layers.6.mlp.down_proj,0.0673336535692215,0.02933279238641262,2.295507716643565
7,model.layers.7.mlp.down_proj,0.09136859327554703,0.026689399033784866,3.423403791763314
8,model.layers.8.mlp.down_proj,0.09400689601898193,0.027228232473134995,3.45255215002232
9,model.layers.9.mlp.down_proj,0.11990304291248322,0.027615269646048546,4.3419108380036855
10,model.layers.10.mlp.down_proj,0.12358341366052628,0.03586156666278839,3.4461241299487892
11,model.layers.11.mlp.down_proj,0.12060588598251343,0.03274746239185333,3.6829077275193427
12,model.layers.12.mlp.down_proj,0.11944755166769028,0.02771616540849209,4.309670749815248
13,model.layers.13.mlp.down_proj,0.11706846952438354,0.02994472347199917,3.909485613529435
14,model.layers.14.mlp.down_proj,0.061414770781993866,0.03093450330197811,1.9853161435034434
15,model.layers.15.mlp.down_proj,0.0979476124048233,0.02556568942964077,3.8312132689858123
16,model.layers.16.mlp.down_proj,0.09367072582244873,0.03386629372835159,2.765898264743769
17,model.layers.17.mlp.down_proj,0.0760740414261818,0.031628288328647614,2.4052531148839917
18,model.layers.18.mlp.down_proj,0.0830700621008873,0.03355550020933151,2.475601886637479
19,model.layers.19.mlp.down_proj,0.08825071901082993,0.03373115137219429,2.6162971853750814
20,model.layers.20.mlp.down_proj,0.08098644763231277,0.026256073266267776,3.0844842534727017
21,model.layers.21.mlp.down_proj,0.07558484375476837,0.032187797129154205,2.3482452403697396
22,model.layers.22.mlp.down_proj,0.0820714458823204,0.025363868102431297,3.2357620815214387
23,model.layers.23.mlp.down_proj,0.0707436352968216,0.028800422325730324,2.456340120307161
24,model.layers.24.mlp.down_proj,0.05163656920194626,0.030625011771917343,1.68609135240251
25,model.layers.25.mlp.down_proj,0.03411948308348656,0.024692049250006676,1.3818003259359692
26,model.layers.26.mlp.down_proj,0.033525966107845306,0.026499316096305847,1.2651633997209315
27,model.layers.27.mlp.down_proj,0.023939717561006546,0.028460275381803513,0.841162511559893
28,model.layers.28.mlp.down_proj,0.02671673893928528,0.032289523631334305,0.8274119623724314
29,model.layers.29.mlp.down_proj,0.049634747207164764,0.029854053631424904,1.6625797674704579
30,model.layers.30.mlp.down_proj,0.07816028594970703,0.02470875158905983,3.163263125808855
31,model.layers.31.mlp.down_proj,0.21642020344734192,0.031138401478528976,6.950266751692585
