layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.1940869390964508,0.02920326590538025,6.646069418373644
1,model.layers.1.mlp.down_proj,0.1657995730638504,0.02495037391781807,6.6451736140223785
2,model.layers.2.mlp.down_proj,0.19345690310001373,0.02782037854194641,6.953783747210474
3,model.layers.3.mlp.down_proj,0.14873634278774261,0.023537809029221535,6.319039137587167
4,model.layers.4.mlp.down_proj,0.1669478416442871,0.03576365485787392,4.6680865711196855
5,model.layers.5.mlp.down_proj,0.1249128207564354,0.03305719792842865,3.7786873905100413
6,model.layers.6.mlp.down_proj,0.14508381485939026,0.030972439795732498,4.684287422364868
7,model.layers.7.mlp.down_proj,0.12516018748283386,0.02943960763514042,4.251421580837088
8,model.layers.8.mlp.down_proj,0.16680225729942322,0.025617849081754684,6.5111731377576305
9,model.layers.9.mlp.down_proj,0.10246555507183075,0.02593334950506687,3.9511113325604024
10,model.layers.10.mlp.down_proj,0.15953147411346436,0.029537830501794815,5.400920311424036
11,model.layers.11.mlp.down_proj,0.15247170627117157,0.028815556317567825,5.291298189753039
12,model.layers.12.mlp.down_proj,0.12397526204586029,0.029377594590187073,4.2200615658032765
13,model.layers.13.mlp.down_proj,0.13045863807201385,0.037175364792346954,3.5092765139346795
14,model.layers.14.mlp.down_proj,0.18053700029850006,0.02985280752182007,6.047571710599411
15,model.layers.15.mlp.down_proj,0.11759324371814728,0.03260105475783348,3.6070379006020876
16,model.layers.16.mlp.down_proj,0.0744655504822731,0.03189747408032417,2.334528055739649
17,model.layers.17.mlp.down_proj,0.09799400717020035,0.03202396631240845,3.0600208342153237
18,model.layers.18.mlp.down_proj,0.12743335962295532,0.030600104480981827,4.164474521244903
19,model.layers.19.mlp.down_proj,0.12266786396503448,0.028000149875879288,4.380971535075071
20,model.layers.20.mlp.down_proj,0.11052756011486053,0.02740336023271084,4.033357775940494
21,model.layers.21.mlp.down_proj,0.10877968370914459,0.02861241064965725,3.8018355474921206
22,model.layers.22.mlp.down_proj,0.10152193158864975,0.02608192339539528,3.8924248858942816
23,model.layers.23.mlp.down_proj,0.03503822535276413,0.026412585750222206,1.326573034444245
24,model.layers.24.mlp.down_proj,0.02475660666823387,0.029030820354819298,0.8527697637505568
25,model.layers.25.mlp.down_proj,0.03138289228081703,0.031652770936489105,0.9914737433987272
26,model.layers.26.mlp.down_proj,0.025697972625494003,0.0333322249352932,0.7709647917118008
27,model.layers.27.mlp.down_proj,0.03138706833124161,0.027604764327406883,1.1370163071112775
28,model.layers.28.mlp.down_proj,0.031887151300907135,0.023604389280080795,1.350899172677041
29,model.layers.29.mlp.down_proj,0.1245073527097702,0.03340675309300423,3.727011381086064
30,model.layers.30.mlp.down_proj,0.11580840498209,0.02272278256714344,5.096576510526904
31,model.layers.31.mlp.down_proj,0.13592657446861267,0.02878030762076378,4.722901906984673
