layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.23408988118171692,0.028612231835722923,8.181461493262113
1,model.layers.1.mlp.down_proj,0.2295590192079544,0.027793684974312782,8.259394576887544
2,model.layers.2.mlp.down_proj,0.2870895266532898,0.03763683885335922,7.627886075766429
3,model.layers.3.mlp.down_proj,0.21228787302970886,0.03368339315056801,6.3024489776998625
4,model.layers.4.mlp.down_proj,0.21018750965595245,0.0290001779794693,7.247800429257864
5,model.layers.5.mlp.down_proj,0.15528282523155212,0.025880644097924232,5.999959608580493
6,model.layers.6.mlp.down_proj,0.1678709089756012,0.03342243656516075,5.02270095196732
7,model.layers.7.mlp.down_proj,0.15830183029174805,0.02657151222229004,5.957576784108533
8,model.layers.8.mlp.down_proj,0.2242664396762848,0.023740898817777634,9.446417001783136
9,model.layers.9.mlp.down_proj,0.18453963100910187,0.028399545699357986,6.497978047419808
10,model.layers.10.mlp.down_proj,0.18663813173770905,0.02469254471361637,7.55848076185964
11,model.layers.11.mlp.down_proj,0.1876751184463501,0.02848941460251808,6.587538370908603
12,model.layers.12.mlp.down_proj,0.1222216859459877,0.02662903629243374,4.589789882517279
13,model.layers.13.mlp.down_proj,0.11899753659963608,0.02551155351102352,4.664456513154357
14,model.layers.14.mlp.down_proj,0.17755857110023499,0.037524640560150146,4.731785933667544
15,model.layers.15.mlp.down_proj,0.11570852994918823,0.025549545884132385,4.5287899027692475
16,model.layers.16.mlp.down_proj,0.1103709489107132,0.028397709131240845,3.8866143925207575
17,model.layers.17.mlp.down_proj,0.12292221933603287,0.032884567975997925,3.7379908924989227
18,model.layers.18.mlp.down_proj,0.16558504104614258,0.03345338627696037,4.9497242140314555
19,model.layers.19.mlp.down_proj,0.1765933334827423,0.025421177968382835,6.946701162144262
20,model.layers.20.mlp.down_proj,0.18745578825473785,0.029492462053894997,6.356057407351098
21,model.layers.21.mlp.down_proj,0.19919589161872864,0.021691301837563515,9.183214724833164
22,model.layers.22.mlp.down_proj,0.1727283000946045,0.031950853765010834,5.406061946228684
23,model.layers.23.mlp.down_proj,0.037733908742666245,0.0336894653737545,1.120050650967346
24,model.layers.24.mlp.down_proj,0.027651777490973473,0.028418218716979027,0.9730299000557158
25,model.layers.25.mlp.down_proj,0.027557868510484695,0.029339075088500977,0.9392889001465728
26,model.layers.26.mlp.down_proj,0.017585035413503647,0.025744879618287086,0.6830497944128223
27,model.layers.27.mlp.down_proj,0.015642553567886353,0.027199964970350266,0.575094600667433
28,model.layers.28.mlp.down_proj,0.02460389956831932,0.028641143813729286,0.8590403675667779
29,model.layers.29.mlp.down_proj,0.15524816513061523,0.026398915797472,5.880853609322411
30,model.layers.30.mlp.down_proj,0.2953389883041382,0.03229951485991478,9.143758983417698
31,model.layers.31.mlp.down_proj,0.3374663293361664,0.027184704318642616,12.413830695627961
