layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.1945183128118515,0.030548665672540665,6.367489452058428
1,model.layers.1.mlp.down_proj,0.23857548832893372,0.029745852574706078,8.020462002536133
2,model.layers.2.mlp.down_proj,0.23946301639080048,0.033134154975414276,7.227074580335873
3,model.layers.3.mlp.down_proj,0.21038012206554413,0.03264347091317177,6.444783895081176
4,model.layers.4.mlp.down_proj,0.2066679447889328,0.03297042101621628,6.2682832718151005
5,model.layers.5.mlp.down_proj,0.15975487232208252,0.02669425867497921,5.984615204437467
6,model.layers.6.mlp.down_proj,0.19053731858730316,0.028480464592576027,6.690105467832321
7,model.layers.7.mlp.down_proj,0.18232296407222748,0.030538100749254227,5.970343722385429
8,model.layers.8.mlp.down_proj,0.23514243960380554,0.027251537889242172,8.628593069899273
9,model.layers.9.mlp.down_proj,0.18808643519878387,0.030421623960137367,6.182655773491416
10,model.layers.10.mlp.down_proj,0.1926460713148117,0.01870744861662388,10.297826548393957
11,model.layers.11.mlp.down_proj,0.20055611431598663,0.030248140916228294,6.630361457289619
12,model.layers.12.mlp.down_proj,0.12894444167613983,0.02723238803446293,4.734966201935461
13,model.layers.13.mlp.down_proj,0.11893044412136078,0.02723504602909088,4.366816183365729
14,model.layers.14.mlp.down_proj,0.18560223281383514,0.03095182217657566,5.996487888774801
15,model.layers.15.mlp.down_proj,0.11989165842533112,0.029888376593589783,4.011313697102264
16,model.layers.16.mlp.down_proj,0.09759963303804398,0.030523350462317467,3.1975398625061007
17,model.layers.17.mlp.down_proj,0.11308616399765015,0.028094923123717308,4.025145734498871
18,model.layers.18.mlp.down_proj,0.15420374274253845,0.029677772894501686,5.195933606432231
19,model.layers.19.mlp.down_proj,0.1753770411014557,0.024367408826947212,7.197196679784624
20,model.layers.20.mlp.down_proj,0.17542600631713867,0.029579509049654007,5.9306596364394695
21,model.layers.21.mlp.down_proj,0.18316160142421722,0.026667719706892967,6.868288573941542
22,model.layers.22.mlp.down_proj,0.17300185561180115,0.027477998286485672,6.296013541891587
23,model.layers.23.mlp.down_proj,0.04090224951505661,0.03500797227025032,1.1683695368282068
24,model.layers.24.mlp.down_proj,0.0282612144947052,0.027998944744467735,1.0093670937695676
25,model.layers.25.mlp.down_proj,0.028571728616952896,0.031081777065992355,0.9192436982301926
26,model.layers.26.mlp.down_proj,0.015688661485910416,0.026305999606847763,0.5963909801563098
27,model.layers.27.mlp.down_proj,0.013649901375174522,0.026084214448928833,0.5233012049720309
28,model.layers.28.mlp.down_proj,0.021949874237179756,0.024679094552993774,0.8894116151885095
29,model.layers.29.mlp.down_proj,0.17924952507019043,0.021264687180519104,8.429445263834321
30,model.layers.30.mlp.down_proj,0.2893883287906647,0.029440244659781456,9.829684579908253
31,model.layers.31.mlp.down_proj,0.35118940472602844,0.029192570596933365,12.030094832855369
