layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.19441989064216614,0.031592998653650284,6.1538914561315705
1,model.layers.1.mlp.down_proj,0.21859875321388245,0.030844638124108315,7.087090639456522
2,model.layers.2.mlp.down_proj,0.22882863879203796,0.03091813065111637,7.401114704283096
3,model.layers.3.mlp.down_proj,0.19119787216186523,0.033264029771089554,5.747886462636369
4,model.layers.4.mlp.down_proj,0.20459535717964172,0.032253969460725784,6.343261132106769
5,model.layers.5.mlp.down_proj,0.1526186764240265,0.03188007324934006,4.7872748109169105
6,model.layers.6.mlp.down_proj,0.19577853381633759,0.02851351536810398,6.866165901422841
7,model.layers.7.mlp.down_proj,0.1794208586215973,0.031321004033088684,5.7284515114393795
8,model.layers.8.mlp.down_proj,0.2325504571199417,0.029134433716535568,7.981979378784897
9,model.layers.9.mlp.down_proj,0.1867799460887909,0.03168267756700516,5.895333176889484
10,model.layers.10.mlp.down_proj,0.190697580575943,0.026631128042936325,7.160702059176265
11,model.layers.11.mlp.down_proj,0.18705472350120544,0.032779261469841,5.706495796643003
12,model.layers.12.mlp.down_proj,0.12604376673698425,0.02945486642420292,4.279216909101234
13,model.layers.13.mlp.down_proj,0.11773987859487534,0.02991793490946293,3.935427863445441
14,model.layers.14.mlp.down_proj,0.1768505573272705,0.031426526606082916,5.627429143429748
15,model.layers.15.mlp.down_proj,0.11819911003112793,0.026834970340132713,4.404666900253279
16,model.layers.16.mlp.down_proj,0.09035314619541168,0.02984650805592537,3.027260106906005
17,model.layers.17.mlp.down_proj,0.12289763987064362,0.031320907175540924,3.923821084045598
18,model.layers.18.mlp.down_proj,0.1674818992614746,0.032921791076660156,5.08726556778817
19,model.layers.19.mlp.down_proj,0.18505175411701202,0.025306422263383865,7.31244207018245
20,model.layers.20.mlp.down_proj,0.1956784725189209,0.029788538813591003,6.568917904114344
21,model.layers.21.mlp.down_proj,0.20795492827892303,0.023770639672875404,8.74839391755308
22,model.layers.22.mlp.down_proj,0.18239466845989227,0.028966497629880905,6.296745450336887
23,model.layers.23.mlp.down_proj,0.038407452404499054,0.025254111737012863,1.5208395085766933
24,model.layers.24.mlp.down_proj,0.01989402063190937,0.024820517748594284,0.8015151026219415
25,model.layers.25.mlp.down_proj,0.025733068585395813,0.032998066395521164,0.7798356272491452
26,model.layers.26.mlp.down_proj,0.014970159158110619,0.03129574656486511,0.4783448334979929
27,model.layers.27.mlp.down_proj,0.015133765526115894,0.024701055139303207,0.6126768604859664
28,model.layers.28.mlp.down_proj,0.024304915219545364,0.0268961600959301,0.9036574079422495
29,model.layers.29.mlp.down_proj,0.16546760499477386,0.021453317254781723,7.712914292775797
30,model.layers.30.mlp.down_proj,0.2817212641239166,0.03085545264184475,9.130355605657316
31,model.layers.31.mlp.down_proj,0.32352033257484436,0.03237035870552063,9.99433850961098
